All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
08/12/2019,VON Capital Corp.,Merger/Acquisition,Closed,Xplore Resources Corp. (TSXV:XPLR),-,IQTR633006997,"TSXV:XPLR
Company: VON Capital Corp.
(IQT542081901) - 10/31/2017",Acquired
11/01/2019,Wealthbridge Acquisition Limited,Merger/Acquisition,Closed,Scienjoy Holding Corporation (NasdaqCM:SJ),Oriental Holdings Limited,IQTR642929622,"NasdaqCM:HHHH
Company: Wealthbridge Acquisition Limited
(IQT591039905) - 3/7/2019",Acquired
07/28/2020,Whatcom Capital Corp. (TSXV:WHAT.P),Merger/Acquisition,Announced,NEXE Innovations Inc.,-,IQTR680940520,"TSXV:WHAT.P
Company: Whatcom Capital Corp.
(IQT646867751) - 6/12/2020",Operating
06/24/2019,Winston Capital Group Inc. (TSXV:WNST.P),Merger/Acquisition,Cancelled,2695389 Ontario Corp.,-,IQTR625731604,"TSXV:WNST.P
Company: Winston Capital Group Inc.
(IQT594714631) - 3/5/2019",Operating
12/23/2019,Woodbridge Ventures Inc.,Merger/Acquisition,Closed,Jack Nathan Medical Corp. (TSXV:JNH),-,IQTR649037129,"TSXV:JNH
Company: Woodbridge Ventures Inc.
(IQT535099247) - 8/29/2019",Acquired
09/09/2020,XIB I Capital Corp. (TSXV:XIB.P),Merger/Acquisition,Announced,MR Exploration PNG Pte. Ltd,-,IQTR687643506,"TSXV:XIB.P
Company: XIB I Capital Corp.
(IQT582270129) - 12/14/2018",Operating
07/24/2015,"Yuanta 2 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,Paratus Investment Inc.,-,IQTR307581423,"KOSDAQ:A219960
Company: Yuanta 2 Special Purpose Acquisition Co., Ltd.
(IQT306482297) - 7/17/2015",Operating
07/20/2015,"Yuanta 2 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"ANDA Asset Management Co., Ltd.",-,IQTR307188505,"KOSDAQ:A219960
Company: Yuanta 2 Special Purpose Acquisition Co., Ltd.
(IQT306482297) - 7/17/2015",Operating
09/21/2020,"Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A287410)",Merger/Acquisition,Announced,Jeisys Medical Inc.,"Alliance Capital Partners Co., Ltd.",IQTR689984192,"KOSDAQ:A287410
Company: Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD.
(IQT557301417) - 5/8/2018",Operating
06/12/2018,"Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A287410)",Merger/Acquisition,Closed,-,"Yuanta Securities Korea Co., Ltd., Investment Arm",IQTR571373867,"KOSDAQ:A287410
Company: Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD.
(IQT557301417) - 5/8/2018",Operating
12/05/2019,"Yuanta 5 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A336060)",Merger/Acquisition,Closed,"Shinhan Investment Corp., Investment Arm",-,IQTR647587774,"KOSDAQ:A336060
Company: Yuanta 5 SPECIAL PURPOSE ACQUISITION CO., LTD.
(IQT641131029) - 11/28/2019",Operating
09/18/2020,"Yuanta 6 Special Purpose Acquisition Co., Ltd. (KOSDAQ:A340360)",Merger/Acquisition,Announced,Davolink Inc.,-,IQTR689187615,"KOSDAQ:A340360
Company: Yuanta 6 Special Purpose Acquisition Co., Ltd.
(IQT643790044) - 12/19/2019",Operating
